runId,runDurationSec,minBatchIntervalSec,maxBatchIntervalSec,producerInstances,producersPerInstance,minMsgSizeKb,maxMsgSizeKb,minBatchSize,maxBatchSize,avgMs,medianMs,q90ms,q95ms,q99ms,consumedMessages,consumerErrors,producedMessages,producerErrors
72,60,100,100,3,8,480,480,4,4,-1,-1,-1,-1,-1,0,0,0,4174
73,60,500,500,3,16,200,200,1,1,1265.62,1307.0,1548,1734,1905,1628,0,1629,0
74,60,250,250,3,16,200,200,1,1,1517.99,1575.0,1847,1981,2086,1623,0,1623,0
75,60,100,100,3,16,200,200,1,1,1677.47,1769.0,2036,2138,2324,1605,0,1606,0
76,60,500,500,3,16,480,480,1,1,1571.57,1614.5,2388,2600,2752,1406,0,1407,0
77,60,250,250,3,16,480,480,1,1,1750.84,1817.0,2314,2506,2799,1445,0,1446,0
78,60,100,100,3,16,480,480,1,1,1782.07,1863.0,2155,2259,2413,1539,0,1540,0
79,60,500,500,3,16,200,200,2,2,3450.96,3822.0,4678,4979,5205,1397,0,1398,0
80,60,250,250,3,16,200,200,2,2,3298.59,3501.0,3940,4047,4261,1567,0,1568,0
81,60,100,100,3,16,200,200,2,2,3486.33,3763.0,4229,4366,4549,1553,0,1552,0
82,60,500,500,3,16,480,480,2,2,3218.03,3312.0,3952,4053,4182,1508,0,1508,0
83,60,250,250,3,16,480,480,2,2,3651.49,3826.0,4421,4525,5238,1435,0,1436,0
84,60,100,100,3,16,480,480,2,2,3665.96,3823.0,4292,4459,4635,1483,0,1484,0
85,60,500,500,3,16,200,200,4,4,6721.03,7486.0,8112,8402,8695,1475,0,1472,0
86,60,250,250,3,16,200,200,4,4,7366.25,8000.5,9303,9601,9905,1402,0,1404,0
87,60,100,100,3,16,200,200,4,4,7357.35,8339.0,8978,9105,9259,1430,0,1428,0
88,60,500,500,3,16,480,480,4,4,0,0,0,0,0,0,0,0,4112
89,60,250,250,3,16,480,480,4,4,0,0,0,0,0,0,0,0,4127
90,60,100,100,3,16,480,480,4,4,0,0,0,0,0,0,0,0,4224
